Tumortype,TNM7,T or N or M,isIncludedIn,NoAssessment _PrimT,NoEvidence _PrimT,Confinement/Spread,Size,Invasive in CeliacTrunk Or SuperiorMesentericArtery,Meta LymphNodes,Distant Meta,InvasiveInPeripancreaticSoftTissue,InvasiveInCommonHepaticArtery,Meta LymphNodes,Dist Meta Org
CarcinomaInSituOfPancreas,cTis,T,ExocrinePancreas,,,in-situ,,,1,,,,1,
PancreasStructureNotAssessedForTumor,cTX,T,ExocrinePancreas,NoAssessment,,,,,0,,,,0,
PancreasStructureNotAssessedForTumor,cTX,T,SetOfPancreaticIslets,NoAssessment,,,,,0,,,,0,
PancreasStructureWithoutEvidenceOfPrimaryTumor,cT0,T,ExocrinePancreas,,NoEvidence,,,,0,,,,0,
PancreasStructureWithoutEvidenceOfPrimaryTumor,cT0,T,SetOfPancreaticIslets,,NoEvidence,,,,0,,,,0,
ConfinedPancreasTumorMax2cm,cT1,T,ExocrinePancreas,,,Confined,,,1,,,,1,
ConfinedPancreasTumorMax2cm,cT1,T,SetOfPancreaticIslets,,,Confined,,,1,,,,1,
ConfinedPancreasTumorMax2cm,cT1,T,ExocrinePancreas,,,Confined,SizeMax5mm,,1,,,,1,
ConfinedPancreasTumorMax2cm,cT1,T,ExocrinePancreas,,,Confined,Size5mmTo1cm,,1,,,,1,
ConfinedPancreasTumorMax2cm,cT1,T,ExocrinePancreas,,,Confined,Size1to2cm,,1,,,,1,
ConfinedPancreasTumorMoreThan2cm,cT2,T,ExocrinePancreas,,,Confined,Size2to4cm,,3,,,,3,
ConfinedPancreasTumorMoreThan2cm,cT2,T,SetOfPancreaticIslets,,,Confined,Size2to4cm,,3,,,,3,
ConfinedPancreasTumorMoreThan2cm,cT2,T,ExocrinePancreas,,,Confined,SizeMoreThan4cm,,3,,,,3,
ConfinedPancreasTumorMoreThan2cm,cT2,T,SetOfPancreaticIslets,,,Confined,SizeMoreThan4cm,,3,,,,3,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,ExocrinePancreas,,,Invasive,SizeMax5mm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,ExocrinePancreas,,,Invasive,Size5mmTo1cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,ExocrinePancreas,,,Invasive,Size1to2cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,ExocrinePancreas,,,Invasive,Size2to4cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,ExocrinePancreas,,,Invasive,SizeMoreThan4cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,SetOfPancreaticIslets,,,Invasive,SizeMax2cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,SetOfPancreaticIslets,,,Invasive,Size2to4cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,SetOfPancreaticIslets,,,Invasive,SizeMoreThan4cm,no,0,,yes,,0,
InvasivePancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,cT3,T,ExocrinePancreas,,,Invasive,,,,,,yes,,
InvasivePancreasTumorInfiltratingCeliacTrunkOrSuperiorMesentericArtery,cT4,T,ExocrinePancreas,,,Invasive,,yes,0,,,,0,
InvasivePancreasTumorInfiltratingCeliacTrunkOrSuperiorMesentericArtery,cT4,T,SetOfPancreaticIslets,,,Invasive,,yes,0,,,,0,
PancreasTumorWithNoAssessmentOfRegionalLymphNodes,cNX,N,ExocrinePancreas,NoAssessment,,,,,,,,,,
PancreasTumorWithNoAssessmentOfRegionalLymphNodes,cNX,N,SetOfPancreaticIslets,NoAssessment,,,,,,,,,,
PancreasTumorWithoutMetastaticRegionalLymphNodes,cN0,N,ExocrinePancreas,,,,,,0,,,,0,
PancreasTumorWithoutMetastaticRegionalLymphNodes,cN0,N,SetOfPancreaticIslets,,,,,,0,,,,0,
PancreasTumorWithMetastaticRegionalLymphNodes,cN1,N,ExocrinePancreas,,,,,,1<3,,,,1<3,
PancreasTumorWithMetastaticRegionalLymphNodes,cN1,N,ExocrinePancreas,,,,,,>4,,,,>4,
PancreasTumorWithMetastaticRegionalLymphNodes,cN1,N,SetOfPancreaticIslets,,,,,,1,,,,1,
PancreasTumorWithoutDistantMetastasis,cM0,M,ExocrinePancreas,,,,,,0,no,,,0,
PancreasTumorWithoutDistantMetastasis,cM0,M,SetOfPancreaticIslets,,,,,,0,no,,,0,
PancreasTumorWithDistantMetastasis,cM1,M,ExocrinePancreas,,,,,,0,yes,,,0,
PancreasTumorWithDistantMetastasis,cM1,M,SetOfPancreaticIslets,,,,,,0,yes,,,0,
PancreasTumorWithDistantMetastasis,cM1,M,SetOfPancreaticIslets,,,,,,0,yes,,,0,Liver
PancreasTumorWithDistantMetastasis,cM1,M,SetOfPancreaticIslets,,,,,,0,yes,,,0,OtherNotLiver
PancreasTumorWithDistantMetastasis,cM1,M,SetOfPancreaticIslets,,,,,,0,yes,,,0,LiverAndOther
